id_baris,aksara,transliterasi,terjemahan,
36,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris036.png,angipi tumingal,bermimpi melihat,
37,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris037.png,wong apêkik kaliwat,seorang lelaki tampan rupawan,
38,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris038.png,warnane datan patandhing,tiada tanding kerupawanan wajahnya,
39,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris039.png,dèrèng wong mulat,tiada pernah diriku melihat,
40,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris040.png,rupa kang kepi uni,wajah seperti dalam mimpiku semalam,
41,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris041.png,Mêyang kadi,Seolah ia,
42,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris042.png,luhunging rupa kaliwat,berwajah teramat luhur,
43,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris043.png,pamulune akuning,kulitnya kuning,
44,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris044.png,sarira gumawang,semarak berkilauan,
45,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris045.png,yaya mas sinêpuhan,layaknya sepuhan emas,
46,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris046.png,sutêya yaya kêras neng rawit,matanya tajam namun lembut,
47,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris047.png,lêwir tumêrètèsa,seperti tetesan air,
48,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris048.png,pawakannya rinukmi,berperawakan kencana,
49,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris049.png,Wajanira,Giginya,
50,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris050.png,lêwir muntêyara sinundukan,seperti rangkaian mutiara,
51,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris051.png,èsêm ira lêwir gêndhis,senyumnya manis bagaikan gula,
52,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris052.png,awêtu kang cahya,berbinar cahaya,
53,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris053.png,saking kênyaring waja,memancar dari giginya,
54,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris054.png,nyumunuh ing wêdana sêri,memancar dari mulutnya yang indah,
55,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris055.png,lêwir pendah surya,tak ubahnya seperti mentari,
56,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris056.png,rema andêrawila sêr,rambutnya berjuntai indah,
57,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris057.png,Tan kuwasa,Tiada mampu,
58,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris058.png,Ibu kawula murjita,"aku mengatakannya, Ibunda",
59,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris059.png,ing warnane sang kepi,akan sosok impianku itu,
60,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris060.png,nadêyan satungkêb rat,seandainya ke penjuru dunia,
61,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris061.png,ibu angulatana,ibunda mencarinya,
62,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris062.png,mangsa manggiya kêkalih,apakah mungkin bisa menjumpainya,
